files,language,blank,comment,code
3002,C,256114,316153,1374348
3100,C/C++ Header,62268,144347,692584
263,Assembly,9914,27107,51461
165,make,1164,433,3368
20,awk,244,682,2134
2,yacc,237,223,1654
2,ASP.Net,13,0,1045
4,m4,68,26,894
8,Bourne Shell,112,289,798
3,Racket,76,132,626
2,lex,56,149,559
2,Perl,58,98,299
1,Ada,3,0,8
