files,language,blank,comment,code
535,C,15894,31747,186179
715,C/C++ Header,13868,34714,117894
115,Assembly,1376,4035,5727
29,C++,309,431,1655
53,make,232,113,727
2,awk,47,68,226
3,CMake,24,6,121
4,Bourne Shell,25,71,93
1,Bourne Again Shell,2,7,59
